Id = 1001; TotalUsage = 11130
Id = 1018; TotalUsage = 12505
Id = 1008; TotalUsage = 11065
Id = 1027; TotalUsage = 13075
Id = 1030; TotalUsage = 11300
Id = 1005; TotalUsage = 12735
Id = 1022; TotalUsage = 9880
Id = 1012; TotalUsage = 11385
Id = 1024; TotalUsage = 9240
Id = 1010; TotalUsage = 9310
Id = 1025; TotalUsage = 10740
Id = 1029; TotalUsage = 11615
Id = 1026; TotalUsage = 7350
Id = 1020; TotalUsage = 12005
Id = 1014; TotalUsage = 11935
Id = 1031; TotalUsage = 9800
Id = 1007; TotalUsage = 8450
Id = 999; TotalUsage = 9000
Id = 1011; TotalUsage = 11480
Id = 1021; TotalUsage = 10645
Id = 1009; TotalUsage = 10195
Id = 1017; TotalUsage = 9835
Id = 1032; TotalUsage = 15000
Id = 1003; TotalUsage = 14280
Id = 1004; TotalUsage = 11760
Id = 1016; TotalUsage = 11450
Id = 1013; TotalUsage = 10450
Id = 1006; TotalUsage = 6580
Id = 1023; TotalUsage = 11470
Id = 1028; TotalUsage = 11205
Id = 1002; TotalUsage = 10160
Id = 1019; TotalUsage = 7595
